#name	description	is_reversible	data_source	is_spontaneous
AACPS8	acyl-[acyl-carrier-protein]_synthetase__(n-C10:0)	0		0
AACPS9	acyl-[acyl-carrier-protein]_synthetase__(n-C8:0)	0		0
ALAALAr	D-alanine-D-alanine_ligase_(reversible)	1		0
CDPDAG	CDPDAG	1		0
CLPN	CLPN	0		0
EAR100x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C10:0)	0		0
EAR100y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C10:0)	0		0
EAR120x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C12:0)	0		0
EAR120y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C12:0)	0		0
EAR121x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C12:1)	0		0
EAR121y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C12:1)	0		0
EAR140x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C14:0)	0		0
EAR140y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C14:0)	0		0
EAR141x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C14:1)	0		0
EAR141y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C14:1)	0		0
EAR160x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C16:0)	0		0
EAR160y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C16:0)	0		0
EAR161x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C16:1)	0		0
EAR161y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C16:1)	0		0
EAR180x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C18:0)	0		0
EAR180y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C18:0)	0		0
EAR181x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C18:1)	0		0
EAR181y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C18:1)	0		0
EAR40x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C4:0)	0		0
EAR40y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C4:0)	0		0
EAR60x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C6:0)	0		0
EAR60y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C6:0)	0		0
EAR80x	enoyl-[acyl-carrier-protein]_reductase_(NADH)_(n-C8:0)	0		0
EAR80y	enoyl-[acyl-carrier-protein]_reductase_(NADPH)_(n-C8:0)	0		0
FA100ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA120ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA140ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA141ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA160ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA161ACPHi	fatty-acyl-ACP_hydrolase	0		0
FA80ACPHi	fatty-acyl-ACP_hydrolase	0		0
FACOAL100t2pp	fatty-acid-CoA_ligase_(decanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL120t2pp	fatty-acid-CoA_ligase_(dodecanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL140t2pp	fatty-acid-CoA_ligase_(tetradecanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL141t2pp	fatty-acid-CoA_ligase_(tetradecenoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL160t2pp	fatty-acid-CoA_ligase_(hexadecanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL161t2pp	fatty-acid-CoA_ligase_(hexadecenoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL180t2pp	fatty-acid-CoA_ligase_(octadecanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL181t2pp	fatty-acid-CoA_ligase_(octadecenoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL60t2pp	fatty-acid-CoA_ligase_(hexanoate_transport_via_vectoral_Co-A_coupling)	0		0
FACOAL80t2pp	fatty-acid-CoA_ligase_(octanoate_transport_via_vectoral_Co-A_coupling)	0		0
G1PACT	glucosamine-1-phosphate_N-acetyltransferase	0		0
GF6PTA	glutamine-fructose-6-phosphate_transaminase	0		0
GLUR	glutamate_racemase	1		0
INPTH	inositol-3-phosphate_synthase	0		0
MI1PP	myo-inositol_1-phosphatase	0		0
PGAMT	phosphoglucosamine_mutase	1		0
PIM	PIM	0		0
PIT	PIT	0		0
T2DECAI	trans-2-decenoyl-ACP_isomerase	1		0
TDPGDH	dTDPglucose_4,6-dehydratase	0		0
UAAGDS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate_synthetase	0		0
UAGCVT	UDP-N-acetylglucosamine_1-carboxyvinyltransferase	0		0
UAGDP	UDP-N-acetylglucosamine_diphosphorylase	0		0
UAGPT3	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase	0		0
UAMAGS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_synthetase	0		0
UAMAS	UDP-N-acetylmuramoyl-L-alanine_synthetase	0		0
UAMDH	UDP-N-acetylmuramate_dehydrogenase	0		0
UDCPDP	undecaprenyl-diphosphatase	0		0
UDPGALM	UDPgalactopyranose_mutase	0		0
UDPGD	UDPglucose_6-dehydrogenase	0		0
UGMDDS	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine_synthetase	0		0
3OAR121	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C12:1)	0		0
3OAR141	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C14:1)	0		0
3OAR161	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C16:1)	0		0
3OAR181	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C18:1)	0		0
G1PTT	glucose-1-phosphate_thymidylyltransferase	1		0
GALUi	UTP-glucose-1-phosphate_uridylyltransferase_(irreversible)	1		0
PAPPT3	phospho-N-acetylmuramoyl-pentapeptide-transferase_(meso-2,6-diaminopimelate)	1		0
ACONTa	aconitase_(half-reaction_A,_Citrate_hydro-lyase)	1		0
ACONTb	aconitase_(half-reaction_B,_Isocitrate_hydro-lyase)	1		0
AKGDH	2-Oxoglutarate_dehydrogenase	0		0
CITL	Citrate_lyase	0		0
CS	citrate_synthase	0		0
FRD2	fumarate_reductase	0		0
FRD3	fumarate_reductase	0		0
FUM	fumarase	1		0
ICDHyr	isocitrate_dehydrogenase_(NADP)	0		0
MDH	malate_dehydrogenase	1		0
MDH2	Malate_dehydrogenase_(ubiquinone_8_as_acceptor)	0		0
MDH3	Malate_dehydrogenase_(menaquinone_8_as_acceptor)	0		0
PYRC	pyruvate_carboxylase	1		0
SUCOAS	succinyl-CoA_synthetase_(ADP-forming)	0		0
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphatase	0		0
ACBIPGT	Adenosyl_cobinamide_phosphate_guanyltransferase	0		0
ACPS1	acyl-carrier_protein_synthase	0		0
ADCL	4-aminobenzoate_synthase	0		0
ADCS	4-amino-4-deoxychorismate_synthase	0		0
ADOCBIK	Adenosyl_cobinamide_kinase	0		0
ADOCBLS	Adenosylcobalamin_5'-phosphate_synthase	0		0
ALATA_D2	D-alanine_transaminase	0		0
ALATA_L2	alanine_transaminase	0		0
AMAOTr	adenosylmethionine-8-amino-7-oxononanoate_transaminase	1		0
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole_methyltransferase_(menaquinone_8)	0		0
AMPMS2	4-amino-2-methyl-5-phosphomethylpyrimidine_synthetase	0		0
ASP1DC	aspartate_1-decarboxylase	0		0
ASPO5	L-aspartate_oxidase	0		0
BMOCOS	bis-molybdenum_cofactor_synthase	0		0
BTS4	Biotin_synthase	0		0
BWCOS	tungsten_bispterin_cofactor_synthase	0		0
CDPMEK	4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol_kinase	0		0
CPMPS	cyclic_pyranopterin_monophosphate_synthase	0		0
CPPPGO	coproporphyrinogen_oxidase_(O2_required)	0		0
CPPPGO2	Oxygen_Independent_coproporphyrinogen-III_oxidase	0		0
DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate_synthase	0		0
DBTS	dethiobiotin_synthase	0		0
DHFR	dihydrofolate_reductase	1		0
DHFS	dihydrofolate_synthase	0		0
DHNCOAS	1,4-dihydroxy-2-napthoyl-CoA_synthase	0		0
DHNCOAT	1,4-dihydroxy-2-napthoyl-CoA_thioesterase	0		0
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine_deaminase_(25drapp)	0		0
DHPS2	dihydropteroate_synthase	0		0
DHPTPE	dihydroneopterin_triphosphate_2'-epimerase	1		0
DMATT	dimethylallyltranstransferase	0		0
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl_4-diphosphate_reductase_(dmpp)	0		0
DPCOAK	dephospho-CoA_kinase	0		0
DPR	2-dehydropantoate_2-reductase	0		0
DXPRIi	1-deoxy-D-xylulose_reductoisomerase	0		0
DXPS	1-deoxy-D-xylulose_5-phosphate_synthase	0		0
FCLT	Ferrochelatase	0		0
FMNAT	FMN_adenylyltransferase	0		0
G1SAT	glutamate-1-semialdehyde_aminotransferase	1		0
GDPDPK	GDP_diphosphokinase	0		0
GDPTPDP	guanosine_3'-diphosphate_5'-triphosphate_3'-diphosphatase	0		0
GLUCYS	gamma-glutamylcysteine_synthetase	0		0
GLUTRR	glutamyl-tRNA_reductase	0		0
GLYOD	glycolate_oxidase	0		0
GRTT	geranyltranstransferase	0		0
GTHOr	glutathione_oxidoreductase	1		0
GTHRDHpp	glutathione_hydralase	0		0
GTPCI	GTP_cyclohydrolase_I	0		0
GTPDPDP	guanosine-5'-triphosphate,3'-diphosphate_diphosphatase	0		0
GTPDPK	GTP_diphosphokinase	0		0
HETZK	hydroxyethylthiazole_kinase	0		0
HMBS	hydroxymethylbilane_synthase	0		0
HPPK2	6-hydroxymethyl-dihydropterin_pyrophosphokinase	0		0
ICHORS	isochorismate_synthase	1		0
IPDDI	isopentenyl-diphosphate_D-isomerase	1		0
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl_4-diphosphate_reductase_(ipdp)	0		0
LIPAMPL	Lipoyl-adenylate_protein_ligase	0		0
LIPATPT	Lipoate-ATP_adenylate_transferase	0		0
LIPOCT	Lipoyl(octanoyl)_transferase	0		0
LIPOS	Lipoate_synthase	0		0
MECDPDH2	2C-methyl-D-erythritol_2,4_cyclodiphosphate_dehydratase	0		0
MECDPS	2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase	0		0
MEPCT	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase	0		0
MOCOS	molybdenum_cofactor_synthase	0		0
MOHMT	3-methyl-2-oxobutanoate_hydroxymethyltransferase	0		0
MPTAT	molybdopterin_adenylyltransferase	0		0
MPTS	molybdopterin_synthase	0		0
MPTSS	molybdopterin_synthase_sulfurylase	0		0
MSDHD	malonate-semialdehyde_dehydrogenase	0		0
NADDP	NAD_diphosphatase	0		0
NADK	NAD_kinase	0		0
NADPPPS	NADP_phosphatase	0		0
NADS1	NAD_synthase_(nh3)	0		0
NNAM	nicotinamidase	0		0
NNDMBRT	Nicotinate-nucleotide_dimethylbenzimidazole_phosphoribosyltransferase	0		0
NNDPR	nicotinate-nucleotide_diphosphorylase_(carboxylating)	0		0
NPHS	naphthoate_synthase	0		0
OCTDPS	Octaprenyl_pyrophosphate_synthase	0		0
OCTNLL	Octanoate_non-lipoylated_apo_domain_ligase	0		0
OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate_aminotransferase	1		0
OMBZLM	2-Octaprenyl-6-methoxy-benzoquinol_methylase	0		0
PANTS	pantothenate_synthase	0		0
PMPK	phosphomethylpyrimidine_kinase	0		0
PNTK	pantothenate_kinase	0		0
PPBNGS	porphobilinogen_synthase	0		0
PPCDC	phosphopantothenoylcysteine_decarboxylase	0		0
PPGPPDP	guanosine-3',5'-bis(diphosphate)_3'-diphosphatase	0		0
PPNCL2	phosphopantothenate-cysteine_ligase	0		0
PPPGO	protoporphyrinogen_oxidase_(aerobic)	0		0
PPPGO3	protoporphyrinogen_oxidase_(anaerobic)	0		0
PTPATi	pantetheine-phosphate_adenylyltransferase	0		0
PY5PSH	pyridoxal_5'-phosphate_synthase	1		0
PYDAMK	pyridoxamine_kinase	0		0
PYDXK	pyridoxal_kinase	0		0
PYDXNK	pyridoxine_kinase	0		0
QULNS	quinolinate_synthase	0		0
RBFSa	riboflavin_synthase	0		0
RBFSb	riboflavin_synthase	0		0
RZ5PP	alpha-ribazole_5-phosphate_phosphatase	0		0
SEPHCHCS	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate_synthase	0		0
SUCBZL	o-succinylbenzoate-CoA_ligase	0		0
TDPDSH	dTDP-4-dehydrorhamnose_3,5-epimerase	0		0
TMPK	thiamine-phosphate_kinase	0		0
TMPPP	thiamine-phosphate_diphosphorylase	0		0
TRATF	taurine_aminotransferase	1		0
TYRL	tyrosine_lyase	0		0
UDCPDPS	Undecaprenyl_diphosphate_synthase	0		0
UPP3MT	uroporphyrinogen_methyltransferase	0		0
UPP3S	uroporphyrinogen-III_synthase	0		0
UPPDC1	uroporphyrinogen_decarboxylase_(uroporphyrinogen_III)	0		0
WCOS	tungsten_pterin_cofactor_synthase	0		0
NAMNPP	nicotinic_acid_mononucleotide_pyrophosphorylase	1		0
RBFK	riboflavin_kinase	1		0
ADSK	adenylyl-sulfate_kinase	0		0
AMPTASECG	alanyl_aminopeptidase_(cys-gly)	0		0
BPNT	3',5'-bisphosphate_nucleotidase	0		0
CYSS	cysteine_synthase	0		0
MCPST	3-mercaptopyruvate_sulfurtransferase	0		0
PAPSR	phosphoadenylyl-sulfate_reductase_(thioredoxin)	0		0
PAPSR2	phosphoadenylyl-sulfate_reductase_(glutaredoxin)	0		0
SADT2	Sulfate_adenyltransferase	0		0
SERAT	serine_O-acetyltransferase	1		0
SULRi	sulfite_reductase_(NADPH2)	0		0
EX_26dap__M_e	meso-2,6-Diaminoheptanedioate_exchange	0		0
EX_3amp_e	3'-AMP_exchange	0		0
EX_3cmp_e	3'-cmp_exchange	0		0
EX_3gmp_e	3'-GMP_exchange	0		0
EX_3ump_e	3'-UMP_exchange	0		0
EX_4abut_e	4-Aminobutanoate_exchange	0		0
EX_ac_e	Acetate_exchange	0		0
EX_acald_e	Acetaldehyde_exchange	0		0
EX_acgam_e	N-Acetyl-D-glucosamine_exchange	0		0
EX_acgam1p_e	N-Acetyl-D-glucosamine_1-phosphate_exchange	0		0
EX_acmana_e	N-Acetyl-D-mannosamine_exchange	0		0
EX_acser_e	O-Acetyl-L-serine_exchange	0		0
EX_ade_e	Adenine_exchange	0		0
EX_adn_e	Adenosine_exchange	0		0
EX_akg_e	2-Oxoglutarate_exchange	0		0
EX_ala_L_e	L-Alanine_exchange	0		0
EX_alaala_e	D-Alanyl-D-alanine_exchange	0		0
EX_ala_B_e	beta-Alanine_exchange	0		0
EX_ala__D_e	D-Alanine_exchange	0		0
EX_amp_e	AMP_exchange	0		0
EX_arg_L_e	L-Arginine_exchange	0		0
EX_asn_L_e	L-Asparagine_exchange	0		0
EX_asp_L_e	L-Aspartate_exchange	0		0
EX_ca2_e	Calcium_exchange	1		0
EX_cgly_e	Cys-Gly_exchange	0		0
EX_cit_e	Citrate_exchange	0		0
EX_cmp_e	CMP_exchange	0		0
EX_co2_e	CO2_exchange	1		0
EX_cobalt2_e	Co2+_exchange	1		0
EX_cu_e	Cu+_exchange	0		0
EX_cu2_e	Cu2+_exchange	1		0
EX_cyan_e	Hydrogen_cyanide_exchange	0		0
EX_cys_L_e	L-Cysteine_exchange	0		0
EX_cytd_e	Cytidine_exchange	0		0
EX_dad_2_e	Deoxyadenosine_exchange	0		0
EX_damp_e	dAMP_exchange	0		0
EX_dcmp_e	dCMP_exchange	0		0
EX_dcyt_e	Deoxycytidine_exchange	0		0
EX_dgmp_e	dGMP_exchange	0		0
EX_dgsn_e	Deoxyguanosine_exchange	0		0
EX_dha_e	Dihydroxyacetone_exchange	0		0
EX_dimp_e	dIMP_exchange	0		0
EX_din_e	Deoxyinosine_exchange	0		0
EX_dms_e	Dimethyl_sulfide_exchange	0		0
EX_dmso_e	Dimethyl_sulfoxide_exchange	0		0
EX_dtmp_e	dTMP_exchange	0		0
EX_dump_e	dUMP_exchange	0		0
EX_duri_e	Deoxyuridine_exchange	0		0
EX_etha_e	Ethanolamine_exchange	0		0
EX_etoh_e	Ethanol_exchange	0		0
EX_f6p_e	D-fructose_6-phosphate_exchange	0		0
EX_fe2_e	Fe2+_exchange	0		0
EX_fe3_e	Fe3+_exchange	0		0
EX_for_e	Formate_exchange	0		0
EX_fru_e	D-Fructose_exchange	0		0
EX_fruur_e	D-Fructuronate_exchange	0		0
EX_fum_e	Fumarate_exchange	0		0
EX_g1p_e	D-Glucose_1-phosphate_exchange	0		0
EX_g3pe_e	sn-Glycero-3-phosphoethanolamine_exchange	0		0
EX_g3pg_e	Glycerophosphoglycerol_exchange	0		0
EX_g3pi_e	sn-Glycero-3-phospho-1-inositol_exchange	0		0
EX_g3ps_e	Glycerophosphoserine_exchange	0		0
EX_g6p_e	D-Glucose_6-phosphate_exchange	0		0
EX_gal1p_e	alpha-D-Galactose_1-phosphate_exchange	0		0
EX_gam_e	D-Glucosamine_exchange	0		0
EX_gam6p_e	D-Glucosamine_6-phosphate_exchange	0		0
EX_glc_e	D-Glucose_exchange	1		0
EX_glcn_e	D-Gluconate_exchange	0		0
EX_glcur_e	D-Glucuronate_exchange	0		0
EX_glcur1p_e	D-Glucuronate_1-phosphate_exchange	0		0
EX_gln_L_e	L-gln_exchange	0		0
EX_glu_L_e	L-Glutamate_exchange	0		0
EX_gly_e	Glycine_exchange	0		0
EX_glyald_e	D-Glyceraldehyde_exchange	0		0
EX_glyc_e	Glycerol_exchange	0		0
EX_glyc_R_e	(R)-Glycerate_exchange	0		0
